	Name	Date Modified	Shape	Length	Width	Diameter	Subspecies	File #	length_gmean	width_gmean	length_amean	width_amean	volume_gmean	surface_gmean	volume_amean	surface_amean	length_ranges	width_ranges	length_ranges_fix	width_ranges_fix
0	Fusobacterium nucleatum	07/04/2022	rod	3	0.4-0.7		No	8	3.0	0.529150262212918	3.0	0.55	0.620945717137548	4.987123729239649	0.669191960138101	5.1836278784231595	[3.0, 3.0]	[0.4, 0.7]	[3.0, 3.0]	[0.4, 0.7]
1	Fusobacterium canifelinum	07/04/2022	rod	4-10	0.4-0.7		No	8	6.32455532033676	0.529150262212918	7.0	0.55	1.3520536170951456	10.513779971646773	1.6195237378490135	12.095131716320704	[4.0, 10.0]	[0.4, 0.7]	[4.0, 10.0]	[0.4, 0.7]
2	Fusobacterium equinum	07/04/2022	rod	4-10	0.4-0.7		No	8	6.32455532033676	0.529150262212918	7.0	0.55	1.3520536170951456	10.513779971646773	1.6195237378490135	12.095131716320704	[4.0, 10.0]	[0.4, 0.7]	[4.0, 10.0]	[0.4, 0.7]
3	Fusobacterium gonidiaformans	07/04/2022	spheroid	0.7-3.0	0.4-0.7		No	8	1.449137674618944	0.529150262212918	1.85	0.55	0.2798932789673064	2.4090096280091	0.3959715740462136	3.196570525027615	[0.7, 3.0]	[0.4, 0.7]	[0.7, 3.0]	[0.4, 0.7]
4	Fusobacterium necrogenes	07/04/2022	rod	1.5-4.0	0.7-0.8		No	8	2.449489742783178	0.7483314773547882	2.75	0.75	0.9676307326562682	5.758634455116962	1.1044661672776617	6.4795348480289485	[1.5, 4.0]	[0.7, 0.8]	[1.5, 4.0]	[0.7, 0.8]
5	Fusobacterium necrophorum	07/04/2022	rod	1.8	0.5-0.7		No	8	1.8	0.5916079783099616	1.8	0.6	0.4405919306518683	3.345464301234634	0.45238934211693027	3.392920065876977	[1.8, 1.8]	[0.5, 0.7]	[1.8, 1.8]	[0.5, 0.7]
6	Fusobacterium perfoetens	07/04/2022	oval	0.8-1.0	0.6-0.8		No	8	0.8944271909999159	0.6928203230275509	0.9	0.7	0.2501287376067124	1.9467737644673333	0.2565634000431664	1.9792033717615698	[0.8, 1.0]	[0.6, 0.8]	[0.8, 1.0]	[0.6, 0.8]
7	Fusobacterium peridonticum	07/04/2022	rod	4.0-7.0	0.5-1.0		No	8	5.2915026221291805	0.7071067811865476	5.5	0.75	1.9854081593048878	11.754763358538996	2.3193789512830896	12.959069696057897	[4.0, 7.0]	[0.5, 1.0]	[4.0, 7.0]	[0.5, 1.0]
8	Fusobacterium simiae	07/04/2022	spindle	4-10	0.4-0.7		No	8	6.32455532033676	0.529150262212918	7.0	0.55	1.3520536170951456	10.513779971646773	1.6195237378490135	12.095131716320704	[4.0, 10.0]	[0.4, 0.7]	[4.0, 10.0]	[0.4, 0.7]
9	Fusobacterium varium	07/04/2022	rod	0.7-2.0	0.3-0.7		No	8	1.1832159566199232	0.45825756949558394	1.35	0.5	0.16995805849755016	1.7034270439089167	0.23234695667174513	2.1205750411731104	[0.7, 2.0]	[0.3, 0.7]	[0.7, 2.0]	[0.3, 0.7]
10	Cetobacterium ceti	07/04/2022	rod	4-10	0.4-0.7		No	8	6.32455532033676	0.529150262212918	7.0	0.55	1.3520536170951456	10.513779971646773	1.6195237378490135	12.095131716320704	[4.0, 10.0]	[0.4, 0.7]	[4.0, 10.0]	[0.4, 0.7]
11	Cetobacterium somerae	07/04/2022	rod	4-10	0.4-0.7		No	8	6.32455532033676	0.529150262212918	7.0	0.55	1.3520536170951456	10.513779971646773	1.6195237378490135	12.095131716320704	[4.0, 10.0]	[0.4, 0.7]	[4.0, 10.0]	[0.4, 0.7]
12	Ilyobacter polytropus	07/04/2022	rod	1.5-3.0	0.7		No	8	2.121320343559643	0.7	2.25	0.7	0.7265825498714915	4.665027085066285	0.7761042851305783	4.948008429403924	[1.5, 3.0]	[0.7, 0.7]	[1.5, 3.0]	[0.7, 0.7]
13	Ilyobacter insuetus	07/04/2022	rod	1.0-1.5	0.8-1.0		No	8	1.224744871391589	0.8944271909999159	1.25	0.9	0.5822015052693656	3.4414423257272855	0.6043638867343365	3.5342917352885173	[1.0, 1.5]	[0.8, 1.0]	[1.0, 1.5]	[0.8, 1.0]
14	Ilyobacter tartaricus	07/04/2022	rod	1.2-2.5	1.0-1.2		No	8	1.7320508075688774	1.0954451150103321	1.85	1.1	1.2882751952380673	5.96075295947766	1.4096588036045203	6.39314105005523	[1.2, 2.5]	[1.0, 1.2]	[1.2, 2.5]	[1.0, 1.2]
15	Propionigenium modestum	07/04/2022	rod	0.5-2.0	0.5-0.6		No	8	1.0	0.5477225575051662	1.25	0.55	0.1926014199476435	1.7207211628636432	0.2534218073895767	2.159844949342983	[0.5, 2.0]	[0.5, 0.6]	[0.5, 2.0]	[0.5, 0.6]
16	Propionigenium maris	07/04/2022	rod	1.2-2.5	1		No	8	1.7320508075688774	1.0	1.85	1.0	1.0985501353765141	5.441398092702654	1.1911872144861297	5.811946409141117	[1.2, 2.5]	[1.0, 1.0]	[1.2, 2.5]	[1.0, 1.0]
17	Leptotrichia buccalis	07/04/2022	rod	5-15	0.8-1.5		No	8	8.660254037844386	1.0954451150103321	10.0	1.15	7.81795290648125	29.803764797388297	9.98872656701222	36.12831551628262	[5.0, 15.0]	[0.8, 1.5]	[5.0, 15.0]	[0.8, 1.5]
18	Leptotrichia goodfellowii	07/04/2022	rod	5-15	0.5-3.0		No	8	8.660254037844386	1.2247448713915892	10.0	1.75	9.721665237506777	33.32162203618775	22.649737660060783	54.97787143782138	[5.0, 15.0]	[0.5, 3.0]	[5.0, 15.0]	[0.5, 3.0]
19	Leptotrichia trevisanii	07/04/2022	rod	6-13	0.8-0.9		No	8	8.831760866327846	0.848528137423857	9.5	0.8500000000000001	4.834299324291429	23.543087800141645	5.229999094987084	25.368360677737584	[6.0, 13.0]	[0.8, 0.9]	[6.0, 13.0]	[0.8, 0.9]
20	Sebaldella termitidis	07/04/2022	rod	2-12	0.3-0.5		No	8	4.898979485566357	0.3872983346207417	7.0	0.4	0.5619382535379379	5.96075295947766	0.8628907821859966	8.79645943005142	[2.0, 12.0]	[0.3, 0.5]	[2.0, 12.0]	[0.3, 0.5]
21	Spirochaeta plicatilis	07/04/2022	helical	80-250	0.75		No	9	141.42135623730945	0.75	165.0	0.75	62.36759470112423	333.21622036187733	72.7843204235979	388.7720908817369	[80.0, 250.0]	[0.75, 0.75]	[80.0, 250.0]	[0.75, 0.75]
22	Spirochaeta africana	07/04/2022	helical	15-30	0.25-0.3		No	9	21.213203435596427	0.27386127875258304	22.5	0.275	1.2441835727230912	18.251004041881252	1.3309594532628355	19.438604544086846	[15.0, 30.0]	[0.25, 0.3]	[15.0, 30.0]	[0.25, 0.3]
23	Spirochaeta alkalica	07/04/2022	helical	9-18	0.4-0.5		No	9	12.727922061357853	0.447213595499958	13.5	0.45	1.9758812730677957	17.88225887843298	2.123225759974577	19.085175370557995	[9.0, 18.0]	[0.4, 0.5]	[9.0, 18.0]	[0.4, 0.5]
24	Spirochaeta americana	07/04/2022	helical	5-250	0.2-0.75		No	9	35.35533905932737	0.3872983346207417	127.5	0.475	4.149993584488567	43.018029071591066	22.565638697345744	190.26270508303185	[5.0, 250.0]	[0.2, 0.75]	[5.0, 250.0]	[0.2, 0.75]
